date,portfolio_value,returns,cummax,drawdown,strategy
2025-06-19,25939.5933896565,0.008187885454429056,111318.09666228008,-0.7669777496434137,Long Low Volume / Short High Volume
2025-06-20,25991.151238173003,0.0019876120547464016,111318.09666228008,-0.7665145918095808,Long Low Volume / Short High Volume
2025-06-21,25839.17097517143,-0.0058473848121956,111318.09666228008,-0.7678798708393029,Long Low Volume / Short High Volume
2025-06-22,25424.062502324723,-0.016065084798795537,111318.09666228008,-0.7716089003977767,Long Low Volume / Short High Volume
2025-06-23,25611.725388086194,0.007381309959582971,111318.09666228008,-0.7699230748996028,Long Low Volume / Short High Volume
2025-06-24,25585.971821921084,-0.0010055381187668022,111318.09666228008,-0.77015442601804,Long Low Volume / Short High Volume
2025-06-25,25412.69718073716,-0.0067722517006553185,111318.09666228008,-0.7717109980973273,Long Low Volume / Short High Volume
2025-06-26,25356.19395562922,-0.00222342495588268,111318.09666228008,-0.7722185815613113,Long Low Volume / Short High Volume
2025-06-27,25285.528497370266,-0.002786911094883271,111318.09666228008,-0.7728533881235663,Long Low Volume / Short High Volume
2025-06-28,24408.43410658609,-0.03468760365738033,111318.09666228008,-0.7807325597684528,Long Low Volume / Short High Volume
2025-06-29,24678.78684667269,0.011076201730354063,111318.09666228008,-0.7783039093675498,Long Low Volume / Short High Volume
2025-06-30,24160.906912169186,-0.02098482140637825,111318.09666228008,-0.7829561622359641,Long Low Volume / Short High Volume
2025-07-01,24091.647283113205,-0.0028665988949734267,111318.09666228008,-0.7835783398614593,Long Low Volume / Short High Volume
2025-07-02,24205.893836280706,0.00474216444500164,111318.09666228008,-0.782552032759622,Long Low Volume / Short High Volume
2025-07-03,23746.939828840426,-0.018960423876286714,111318.09666228008,-0.7866749383895366,Long Low Volume / Short High Volume
2025-07-04,23358.473685224737,-0.016358576996262086,111318.09666228008,-0.7901646328351237,Long Low Volume / Short High Volume
2025-07-05,23112.45352401962,-0.010532373155902497,111318.09666228008,-0.79237469722341,Long Low Volume / Short High Volume
2025-07-06,22728.351355498253,-0.01661884006049763,111318.09666228008,-0.7958251889227665,Long Low Volume / Short High Volume
2025-07-07,22665.564746342057,-0.002762479696575393,111318.09666228008,-0.7963892176929195,Long Low Volume / Short High Volume
2025-07-08,22904.60223699952,0.010546284345111623,111318.09666228008,-0.7942418804869784,Long Low Volume / Short High Volume
2025-07-09,23106.15213788366,0.008799537263238788,111318.09666228008,-0.7924313042471095,Long Low Volume / Short High Volume
2025-07-10,22966.596453730614,-0.006039763060515679,111318.09666228008,-0.7936849699882373,Long Low Volume / Short High Volume
2025-07-11,23428.297878190806,0.02010317137719353,111318.09666228008,-0.78953738358222,Long Low Volume / Short High Volume
2025-07-12,22629.583276524507,-0.0340918749547664,111318.09666228008,-0.7967124487837879,Long Low Volume / Short High Volume
2025-07-13,22239.371672010868,-0.01724342864583095,111318.09666228008,-0.8002178231677705,Long Low Volume / Short High Volume
2025-07-14,22127.4871322877,-0.005030921798207966,111318.09666228008,-0.8012229116760891,Long Low Volume / Short High Volume
2025-07-15,22327.43331100928,0.009036099649554208,111318.09666228008,-0.799426742097946,Long Low Volume / Short High Volume
2025-07-16,21473.045418821584,-0.03826628346780969,111318.09666228008,-0.8071019352408881,Long Low Volume / Short High Volume
2025-07-17,21575.28059559422,0.004761093490866619,111318.09666228008,-0.8061835295203628,Long Low Volume / Short High Volume
2025-07-18,22486.3506762748,0.04222749626100453,111318.09666228008,-0.7979991452378626,Long Low Volume / Short High Volume
2025-07-19,22589.40825954731,0.004583117321088626,111318.09666228008,-0.7970733516215277,Long Low Volume / Short High Volume
2025-07-20,23260.869173685296,0.029724590676437845,111318.09666228008,-0.7910414400611362,Long Low Volume / Short High Volume
2025-07-21,23388.92343618006,0.005505136611130057,111318.09666228008,-0.7898910946426076,Long Low Volume / Short High Volume
2025-07-22,22908.616819685165,-0.02053564448169143,111318.09666228008,-0.7942058164254644,Long Low Volume / Short High Volume
2025-07-23,22199.763654114886,-0.030942643597808517,111318.09666228008,-0.8005736325023133,Long Low Volume / Short High Volume
2025-07-24,22134.851904084226,-0.0029239838334327306,111318.09666228008,-0.8011567519768367,Long Low Volume / Short High Volume
2025-07-25,22990.180890218282,0.03864173068970178,111318.09666228008,-0.7934731047372601,Long Low Volume / Short High Volume
2025-07-26,22828.485423679576,-0.007033240291184573,111318.09666228008,-0.7949256580182351,Long Low Volume / Short High Volume
2025-07-27,23187.460830705662,0.01572488933732452,111318.09666228008,-0.7917008866846473,Long Low Volume / Short High Volume
2025-07-28,22847.35935679488,-0.01466747378653932,111318.09666228008,-0.7947561084689596,Long Low Volume / Short High Volume
2025-07-29,23184.469697841305,0.014754892930161079,111318.09666228008,-0.7917277568248494,Long Low Volume / Short High Volume
