protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
Kelp,kelp,-,Liquid Restaking,"Ethereum,Linea,Arbitrum,Base,Zircuit,Scroll,Swellchain,Sonic,Hemi,zkSync Era,Blast,Mode,Optimism,Berachain,Manta,X Layer",1487536036.1465297,0.4098068876639047,0.2566989182656272,-8.289920092439502,,2025-11-03T01:15:59.406077
Ondo Yield Assets,ondo-yield-assets,ONDO,RWA,"Ethereum,Solana,Ripple,Mantle,Sui,Noble,Arbitrum,Aptos,Stellar,Polygon",1466293811.131779,0.26233445334618466,0.1481443512849694,0.1221921457752444,,2025-11-03T01:15:59.406078
MEV Capital,mev-capital,-,Risk Curators,"Ethereum,Hyperliquid L1,Arbitrum,Avalanche,Binance,Sonic,Sui,Base,Berachain,Unichain,Polygon",1441615903.1431787,-0.10467914611454887,-1.190635770149143,-3.9252519191607576,,2025-11-03T01:15:59.406079
Lista Liquid Staking,lista-liquid-staking,LISTA,Liquid Staking,Binance,1415850387.6631134,0.6850847788396663,-0.8149934958567258,2.5719544891240105,,2025-11-03T01:15:59.406081
Liquid Collective,liquid-collective,LsETH,Liquid Staking,Ethereum,1409876667.0422673,0.3330872082415226,0.12773555034839035,-7.062530317298879,1393646936.1242073,2025-11-03T01:15:59.406082
Spark Savings,spark-savings,SPK,Yield,"Ethereum,Arbitrum,Optimism,Unichain,Base,Avalanche",1386618651.8962004,-0.01648711159985794,-1.6779100071052113,-6.2703287569604385,,2025-11-03T01:15:59.406083
Lombard,lombard,-,Restaked BTC,"Bitcoin,Ethereum",1378314020.5774734,-0.08973497034924094,0.06668010959552362,-0.4889135411226988,,2025-11-03T01:15:59.406085
Centrifuge Protocol,centrifuge-protocol,CFG,RWA,"Ethereum,Avalanche,Plume Mainnet,Base,Binance,Arbitrum",1374737137.0826058,-0.010139614215205484,-0.008893983489869584,0.09814049859451757,,2025-11-03T01:15:59.406086
StakeWise V2,stakewise-v2,SWISE,Liquid Staking,"Ethereum,xDai",1373253364.71292,1.5495130777497792,1.1469597603091444,-5.469122673807746,,2025-11-03T01:15:59.406087
DeSyn Liquid Strategy,desyn-liquid-strategy,-,Yield Aggregator,"Binance,Mode,Plume Mainnet,CORE,Hemi,BSquared,Goat,Bitlayer,AILayer,Ethereum,Arbitrum,zkLink,Linea,Merlin,Scroll,HashKey Chain,exSat",1349281258.5419896,0.07651873140363818,-0.04435819837907218,-3.7072635040485125,,2025-11-03T01:15:59.406089
Paxos Gold,paxos-gold,PAXG,RWA,Ethereum,1328259047.275002,-0.20475837284438114,-0.45355601047675975,-1.835902837099141,1321108115.330648,2025-11-03T01:15:59.406090
Function FBTC,function-fbtc,-,Bridge,Bitcoin,1322972395.5920305,0.2373878816617463,0.3129415180013666,-3.235057769312391,,2025-11-03T01:15:59.406091
Renzo,renzo,REZ,Liquid Restaking,"Ethereum,Linea,Arbitrum,Solana,Base,Zircuit,Mode,Optimism,Blast,Binance,Fraxtal,Sei",1292126090.8643734,1.3787057807827239,0.7643898585587721,-7.097239368766353,39711861.74531016,2025-11-03T01:15:59.406093
