symbol,name,cmc_rank,market_cap,price,volume_24h,percent_change_24h,percent_change_7d,market_cap_dominance,timestamp,trading_symbol
ZORA,ZORA,154,280939661.2391791,0.06285003608546512,62358260.69981464,6.09897262,-10.43032724,0.0081,2025-11-08T01:49:13.016750,ZORA/USDC:USDC
0G,0G,155,273310111.0655499,1.2816778602394705,114222977.3822516,26.57945951,18.49964419,0.0079,2025-11-08T01:49:13.016751,0G/USDC:USDC
DYDX,dYdX,156,264292536.11412573,0.3313694136877533,26014518.8419552,14.12399332,12.00565359,0.0076,2025-11-08T01:49:13.016753,DYDX/USDC:USDC
FTT,FTX Token,157,259907124.91538766,0.7902432170683805,8934407.42928468,7.76130721,-9.4308853,0.0075,2025-11-08T01:49:13.016754,FTT/USDC:USDC
LPT,Livepeer,158,257329438.0773391,5.556207188110756,51802605.47689772,5.99693996,17.72121257,0.0074,2025-11-08T01:49:13.016755,LPT/USDC:USDC
AXS,Axie Infinity,159,252664685.37624538,1.5130452097666818,77965291.41761559,20.94781227,6.71620265,0.0073,2025-11-08T01:49:13.016756,AXS/USDC:USDC
WEMIX,WEMIX,160,252083521.75444624,0.5503531873028711,5549275.26891139,0.02481979,-5.74085978,0.0073,2025-11-08T01:49:13.016757,WEMIX/USDC:USDC
XCN,Onyxcoin,161,241420338.34125754,0.006704244824387851,21785203.79666016,5.40757236,-17.36575217,0.007,2025-11-08T01:49:13.016758,XCN/USDC:USDC
CHEEMS,Cheems (cheems.pet),162,238943925.43814948,1.274401350011122e-06,3306351.07961457,1.55862572,-6.62837801,0.0069,2025-11-08T01:49:13.016759,CHEEMS/USDC:USDC
MINA,Mina,163,234919663.74134004,0.18632561121585658,226472252.54205447,12.42230016,95.01222479,0.0068,2025-11-08T01:49:13.016760,MINA/USDC:USDC
BRETT,Brett (Based),164,234331092.44316527,0.023645358506421913,32942638.37923091,9.36026979,-12.80693047,0.0067,2025-11-08T01:49:13.016761,BRETT/USDC:USDC
TOSHI,Toshi,165,230664077.43244955,0.0005483190737564847,32693701.93302082,8.58687712,-21.81538753,0.0066,2025-11-08T01:49:13.016762,TOSHI/USDC:USDC
KAITO,KAITO,166,225181668.93083012,0.9328584669480381,22246050.98545223,13.4789518,-7.09326817,0.0065,2025-11-08T01:49:13.016763,KAITO/USDC:USDC
CTC,Creditcoin,167,224036923.95491165,0.44319179687428356,14758064.38786899,11.90150299,-5.43510409,0.0065,2025-11-08T01:49:13.016764,CTC/USDC:USDC
CORE,Core,168,223473542.936121,0.2197569251283856,18710781.76127984,9.41863346,0.26878773,0.0064,2025-11-08T01:49:13.016765,CORE/USDC:USDC
RON,Ronin,169,223194822.38850862,0.30952559333216045,9995821.74279476,11.06578692,-5.66935019,0.0064,2025-11-08T01:49:13.016766,RON/USDC:USDC
BEAM,Beam,170,222807185.08393976,0.004504248702345675,13563283.19081964,14.19590668,-9.51385164,0.0064,2025-11-08T01:49:13.016767,BEAM/USDC:USDC
GLM,Golem,171,214835192.91345692,0.21483519291345693,21330964.53336581,8.59009739,15.66047222,0.0062,2025-11-08T01:49:13.016769,GLM/USDC:USDC
AMP,Amp,172,213650603.83428437,0.002534945365556356,12450412.19621434,8.78177056,1.40809136,0.0062,2025-11-08T01:49:13.016770,AMP/USDC:USDC
BERA,Berachain,173,213045348.43657848,1.6180527326820175,52351255.4995445,11.38247988,-10.8183251,0.0061,2025-11-08T01:49:13.016771,BERA/USDC:USDC
QTUM,Qtum,174,209672640.67725638,1.980243943084163,65809564.75642191,13.25823606,6.17350127,0.006,2025-11-08T01:49:13.016772,QTUM/USDC:USDC
LUNC,Terra Classic,175,209516920.28303614,3.818227429653942e-05,20571791.68154868,7.81594828,-11.56779415,0.006,2025-11-08T01:49:13.016773,LUNC/USDC:USDC
CVX,Convex Finance,176,207920608.27446458,2.1265678150847407,14481106.0501178,17.21454613,-3.88314858,0.006,2025-11-08T01:49:13.016776,CVX/USDC:USDC
SUPER,SuperVerse,177,207400886.44089058,0.3255069865086234,16850314.27411604,10.40442071,-10.07714855,0.006,2025-11-08T01:49:13.016777,SUPER/USDC:USDC
AIOZ,AIOZ Network,178,199073913.5968803,0.1638122462179887,13794373.54970182,14.02851969,-7.51534535,0.0057,2025-11-08T01:49:13.016778,AIOZ/USDC:USDC
MX,MX Token,179,198883221.5833125,2.1510927097429327,23757260.28870185,1.50844306,-4.64158253,0.0057,2025-11-08T01:49:13.016779,MX/USDC:USDC
KMNO,Kamino Finance,180,195893902.0847372,0.06142720908228272,28488552.70330425,1.76125081,-3.42990395,0.0056,2025-11-08T01:49:13.016780,KMNO/USDC:USDC
KSM,Kusama,181,194856826.23111457,11.266723346890107,32626283.33945226,14.83235957,19.11767133,0.0056,2025-11-08T01:49:13.016781,KSM/USDC:USDC
LINEA,Linea,182,194489836.33983856,0.012562199910772624,97906414.14247026,12.15590519,0.46508736,0.0056,2025-11-08T01:49:13.016782,LINEA/USDC:USDC
AXL,Axelar,183,194160098.18189406,0.1820036743270442,15872825.60117526,16.94387294,9.67400288,0.0056,2025-11-08T01:49:13.016783,AXL/USDC:USDC
AKT,Akash Network,184,190658552.9161893,0.6765511388179949,15907451.85422771,18.21732438,-6.77129816,0.0055,2025-11-08T01:49:13.016785,AKT/USDC:USDC
SAHARA,Sahara AI,185,187386176.36897835,0.07883029327947758,31564636.90084822,1.22685106,5.40103665,0.0054,2025-11-08T01:49:13.016788,SAHARA/USDC:USDC
ZRX,0x Protocol,186,187101533.08694372,0.22053546804571747,51236684.17373466,6.15939518,18.48486339,0.0054,2025-11-08T01:49:13.016789,ZRX/USDC:USDC
SFP,SafePal,187,184260955.21969736,0.3685219104393947,5458736.63947288,8.39585764,5.28518487,0.0053,2025-11-08T01:49:13.016790,SFP/USDC:USDC
MET,Meteora,188,180998830.20222944,0.37886656970979476,65309004.4292369,8.56978252,-15.39446051,0.0052,2025-11-08T01:49:13.016791,MET/USDC:USDC
ROSE,Oasis,189,180529755.30536237,0.024128359822573487,77894083.05484828,8.17413702,59.6755393,0.0052,2025-11-08T01:49:13.016792,ROSE/USDC:USDC
MOVE,Movement,190,177294146.20396668,0.0633193379299881,33748413.23035788,11.50036399,-6.48668117,0.0051,2025-11-08T01:49:13.016793,MOVE/USDC:USDC
RVN,Ravencoin,191,176092829.3961182,0.011159880847227906,38542404.31864922,8.87592315,17.01492253,0.0051,2025-11-08T01:49:13.016794,RVN/USDC:USDC
FORM,Four,192,174844922.11221287,0.4578683292601693,46250477.71638085,7.90638679,-11.89165884,0.005,2025-11-08T01:49:13.016795,FORM/USDC:USDC
USELESS,Useless Coin,193,174743920.44156066,0.17490298696742862,62107515.08498355,19.29461873,-23.44745061,0.005,2025-11-08T01:49:13.016796,USELESS/USDC:USDC
YFI,yearn.finance,194,174037389.61193117,5126.295036914802,32810055.85590896,7.05894637,9.33476807,0.005,2025-11-08T01:49:13.016797,YFI/USDC:USDC
DGB,DigiByte,195,173690813.7580188,0.00965471332245595,18677829.91103025,-3.46124226,61.72511966,0.005,2025-11-08T01:49:13.016812,DGB/USDC:USDC
TFUEL,Theta Fuel,196,172967931.17175525,0.024278650167998336,4671989.78958953,13.8591709,0.50207527,0.005,2025-11-08T01:49:13.016814,TFUEL/USDC:USDC
PLUME,Plume,197,172810640.52719045,0.055108711333776754,32556223.6659756,15.48095964,-7.8165651,0.005,2025-11-08T01:49:13.016815,PLUME/USDC:USDC
MOCA,Moca Network,198,169457617.18934435,0.04282869211096648,16529409.09894088,9.65750395,-19.62115356,0.0049,2025-11-08T01:49:13.016816,MOCA/USDC:USDC
