date,symbol,open,high,low,close,volume
2025-08-28,PUMP/USD,0.00301,0.003557,0.002946,0.00351,3665287955.0
2025-08-28,PUMP/USDC,0.00301,0.003557,0.002946,0.00351,3665287955.0
2025-08-28,SOL/USD,202.94,216.88,201.65,214.43,2769100.5238099
2025-08-28,SOL/USDC,202.94,216.88,201.65,214.43,2769100.5238099
2025-08-28,SUI/USD,3.4365,3.5299,3.4111,3.4918,7753625.3
2025-08-28,SUI/USDC,3.4365,3.5299,3.4111,3.4918,7753625.3
2025-08-28,TAO/USD,330.74,338.39,324.97,335.83,18443.6979
2025-08-28,TAO/USDC,330.74,338.39,324.97,335.83,18443.6979
2025-08-28,USDT/USD,1.0,1.00018,0.99979,1.00003,55814322.25
2025-08-28,USELESS/USD,0.2169,0.2268,0.1984,0.2202,9474130.8
2025-08-28,USELESS/USDC,0.2169,0.2268,0.1984,0.2202,9474130.8
2025-08-28,XLM/USD,0.379072,0.387448,0.374312,0.382247,41473982.76579224
2025-08-28,XLM/USDC,0.379072,0.387448,0.374312,0.382247,41473982.76579224
2025-08-28,XRP/USD,2.9683,3.026,2.9431,2.966,69243846.792199
2025-08-28,XRP/USDC,2.9683,3.026,2.9431,2.966,69243846.792199
2025-08-28,ZEC/USD,42.38,43.65,41.17,42.53,27552.75026
2025-08-28,ZEC/USDC,42.38,43.65,41.17,42.53,27552.75026
2025-08-28,ZORA/USD,0.08567,0.09272,0.07944,0.08337,191994727.0
2025-08-28,ZORA/USDC,0.08567,0.09272,0.07944,0.08337,191994727.0
2025-08-29,ADA/USD,0.8578,0.8663,0.81,0.8266,60588383.17478474
2025-08-29,ADA/USDC,0.8578,0.8663,0.81,0.8266,60588383.17478474
2025-08-29,AVAX/USD,24.92,25.2,23.2,23.55,1322681.34667382
2025-08-29,AVAX/USDC,24.92,25.2,23.2,23.55,1322681.34667382
2025-08-29,BONK/USD,2.159e-05,2.284e-05,1.969e-05,2.181e-05,1745602811420.0
2025-08-29,BTC/USD,112574.84,112642.53,107469.13,108378.32,7806.0938333
2025-08-29,BTC/USDC,112574.84,112642.53,107469.13,108378.32,7806.0938333
2025-08-29,BTC/USDT,112537.58,112646.46,107472.09,108364.26,327.23564714
2025-08-29,CLANKER/USD,46.36,46.51,42.0,42.89,13779.9521
