date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2021-12-13,1.4141694970172842,0.009067243993822211,8,3,5,-3.2357722765863497
2021-12-14,1.4138090199407576,-0.00025490372779709766,8,3,5,-3.6498870478990404
2021-12-15,1.4053586101255569,-0.00597705184789018,8,3,5,-5.842716772773321
2021-12-16,1.406756895480417,0.0009949669392464852,8,3,5,-10.929607512090572
2021-12-17,1.4237590917381522,0.012086094130662643,8,3,5,-11.310372669096738
2021-12-18,1.4132274459970116,-0.007397070053672732,8,3,5,-11.694157663329575
2021-12-19,1.4196126613912998,0.004518179584167158,8,3,5,-9.228463880479906
2021-12-20,1.4240573292962182,0.0031309018479466436,8,3,5,-6.212673788400613
2021-12-21,1.4273192451478327,0.0022905790269178057,8,3,5,-1.3001894456394334
2021-12-22,1.4373714695461923,0.007042730231888897,8,3,5,-3.905484161013177
2021-12-23,1.4685664870029524,0.021702822212415984,8,3,5,0.7223029359547082
2021-12-24,1.418539295608143,-0.03406532277398267,8,3,5,1.0537753185398284
2021-12-25,1.4272769382668202,0.0061596056490850395,8,3,5,5.490025714234329
2021-12-26,1.4580427816720751,0.021555622865044415,8,3,5,1.7199467675275777
2021-12-27,1.4605236578066827,0.0017015112078963045,8,3,5,2.3431126764304406
2021-12-28,1.4780044231647274,0.01196883409906288,8,3,5,3.722391421713463
2021-12-29,1.423117570762128,-0.03713578358924982,8,3,5,1.166106624593094
2021-12-30,1.3923536965307766,-0.02161724010959705,8,3,5,-3.1723835791486117
2021-12-31,1.4123467698410488,0.014359191461255583,8,3,5,0.7578910582890539
2022-01-01,1.43895284504788,0.018838203035523117,8,3,5,2.303825334406002
2022-01-02,1.4490872707128908,0.0070429171462347544,6,2,4,1.4108818443874451
2022-01-03,1.4252560570206445,-0.016445671819698124,6,2,4,1.010800530524027
2022-01-04,1.4589313348528223,0.023627528307139975,6,2,4,6.370292819142163
2022-01-05,1.5114486649328334,0.035997122568697866,6,2,4,8.654042799091807
2022-01-06,1.508032986600757,-0.0022598705542065407,6,2,4,7.776632881454312
2022-01-07,1.5338856165959482,0.017143278843963154,6,2,4,7.855212316151883
2022-01-08,1.541402045815522,0.004900254059526648,6,2,4,9.322598496167839
2022-01-09,1.5351433689025682,-0.004060379269603464,6,2,4,8.942991004743954
2022-01-10,1.5542000865279844,0.012413640322753201,6,2,4,9.579762351972455
2022-01-11,1.5268521082393953,-0.017596176017261145,6,2,4,8.973175777029194
2022-01-12,1.5041184947265864,-0.014889204651931116,6,2,4,6.5775309124538595
2022-01-13,1.545429539671078,0.027465286205393784,6,2,4,9.349549905772946
