date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2024-09-07,37287.978937901746,4,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.03790718751149781,0.00795350476677803,0.00792204236189542
2024-09-08,37773.7568528452,4,2,0.5,0.5,-4.163336342344337e-17,1.0,0.04016411872373564,0.013027735178472888,0.012943604139987247
2024-09-09,37658.44370972745,6,1,0.49999999999999994,0.5,-4.163336342344337e-17,1.0,0.028988213381946126,-0.0030527316508913716,-0.0030574007408980574
2024-09-10,37357.746354006944,4,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.02989376876612864,-0.007984858801874273,-0.008016908509185081
2024-09-11,37583.00664634092,3,3,0.5,0.5,0.0,1.0,0.03917656709064028,0.006029814812686496,0.006011708229122574
2024-09-12,37623.17258923137,1,1,0.5,0.5,0.0,1.0,0.039828,0.0010687261737309939,0.0010681554924789208
2024-09-13,36997.0517696272,1,1,0.5,0.5,0.0,1.0,0.025272,-0.016641893187481438,-0.01678192526506587
2024-09-14,37137.86308365022,3,2,0.5,0.5,2.7755575615628914e-17,1.0,0.10567395095454098,0.003806014460282503,0.0037987899125995826
2024-09-15,37038.73506283669,4,3,0.5,0.5,2.7755575615628914e-17,1.0,0.08031038878038779,-0.0026691902167405024,-0.0026727588566140157
2024-09-16,37841.14701629327,2,3,0.5,0.5,5.551115123125783e-17,1.0,0.08229202886417676,0.021664129514554764,0.021432797370705598
2024-09-17,38230.17891722122,1,1,0.5,0.5,0.0,1.0,0.126036,0.010280658267584952,0.010228171724674603
2024-09-18,38288.837688731415,4,3,0.5,0.5,-5.551115123125783e-17,1.0,0.06215618694469861,0.0015343577553534882,0.0015331818311980043
2024-09-19,37859.40937496676,2,2,0.5,0.5,-1.3877787807814457e-17,1.0,0.0395571501498682,-0.011215496204290298,-0.011278864129153398
2024-09-20,37763.45859099941,3,1,0.5,0.5,2.7755575615628914e-17,1.0,0.0370855459589917,-0.0025343972753782973,-0.002537614296776055
