date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-07-26,9954.085406903876,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-27,10039.728540593764,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-28,9973.58356905522,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-29,9964.295625488414,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-30,9917.447349138043,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-07-31,9787.067814649903,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-01,9563.596643743924,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-02,9459.438252141026,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-03,9598.387659917877,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-04,9715.799653244309,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-05,9641.006278481607,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
2025-08-06,9662.60906473862,5,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, XRP/USDC:USDC",None
