date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2023-02-02,8064.94998860597,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-03,8165.841814058023,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-04,8216.750555335871,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-05,8192.405864451513,0.5,0.5,0.0,1.0
2023-02-06,7413.256305284879,0.5,0.5,0.0,1.0
2023-02-07,7612.447789448638,0.5,0.5,0.0,1.0
2023-02-08,7951.999941347033,0.5,0.5,0.0,1.0
2023-02-09,7697.0213109677015,0.5,0.5,0.0,1.0
2023-02-10,7771.898733325041,0.5,0.5,0.0,1.0
2023-02-11,7891.55759588902,0.5,0.5,0.0,1.0
2023-02-12,7916.779271165944,0.5,0.5,0.0,1.0
2023-02-13,7949.403480872038,0.5,0.5,0.0,1.0
2023-02-14,7969.5853060465415,0.5,0.5,0.0,1.0
2023-02-15,7868.737562993537,0.5,0.5,0.0,1.0
2023-02-16,7855.368557931083,0.5,0.5,0.0,1.0
2023-02-17,7906.490292953482,0.5,0.5,0.0,1.0
2023-02-18,7838.699029155225,0.5,0.5,0.0,1.0
2023-02-19,7867.285250015854,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-20,7999.87375163995,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-21,7876.206492205891,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-22,7766.641945903916,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-23,7801.921915853602,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-24,7784.860750519055,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-25,7698.281036666207,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2023-02-26,7723.877633417048,0.5,0.5,0.0,1.0
2023-02-27,7824.480443590237,0.5,0.5,0.0,1.0
2023-02-28,7824.034489471908,0.5,0.5,0.0,1.0
2023-03-01,7870.437139769798,0.5,0.5,0.0,1.0
2023-03-02,7914.438096530014,0.5,0.5,0.0,1.0
2023-03-03,7974.887363849929,0.5,0.5,0.0,1.0
2023-03-04,7975.390376137149,0.5,0.5,0.0,1.0
2023-03-05,7984.144580837256,0.5,0.5,0.0,1.0
2023-03-06,7975.352063384315,0.5,0.5,0.0,1.0
2023-03-07,7922.5455444156905,0.5,0.5,0.0,1.0
2023-03-08,7933.173770830029,0.5,0.5,0.0,1.0
2023-03-09,7913.715117437529,0.5,0.5,0.0,1.0
2023-03-10,7830.35567961341,0.5,0.5,0.0,1.0
2023-03-11,7841.11800377999,0.5,0.5,0.0,1.0
2023-03-12,7813.591885411392,0.5,0.5,0.0,1.0
2023-03-13,7762.926496186251,0.5,0.5,0.0,1.0
2023-03-14,7890.97360920893,0.5,0.5,0.0,1.0
2023-03-15,7747.4322736635995,0.5,0.5,0.0,1.0
2023-03-16,7754.366685029117,0.5,0.5,0.0,1.0
2023-03-17,7774.319434164631,0.5,0.5,0.0,1.0
2023-03-18,7725.108176818085,0.5,0.5,0.0,1.0
2023-03-19,7704.149123472076,0.5,0.5,0.0,1.0
2023-03-20,7817.0663557253465,0.5,0.5,0.0,1.0
2023-03-21,7787.25422693151,0.5,0.5,0.0,1.0
2023-03-22,7810.794906235998,0.5,0.5,0.0,1.0
2023-03-23,7789.086706802456,0.5,0.5,0.0,1.0
2023-03-24,7742.691906192665,0.5,0.5,0.0,1.0
2023-03-25,7761.434749102631,0.5,0.5,0.0,1.0
2023-03-26,7807.222560854883,0.5,0.5,0.0,1.0
2023-03-27,7810.487216071818,0.5,0.5,0.0,1.0
2023-03-28,7682.68055431112,0.5,0.5,0.0,1.0
2023-03-29,7663.714832643894,0.5,0.5,0.0,1.0
2023-03-30,7743.870002864732,0.5,0.5,0.0,1.0
2023-03-31,7777.420512125467,0.5,0.5,0.0,1.0
2023-04-01,7785.734719429251,0.5,0.5,0.0,1.0
2023-04-02,7745.597434078456,0.5,0.5,0.0,1.0
2023-04-03,7668.367108220547,0.5,0.5,0.0,1.0
2023-04-04,7663.165400645248,0.5,0.5,0.0,1.0
2023-04-05,7677.021038528784,0.5,0.5,0.0,1.0
2023-04-06,7720.035533670413,0.5,0.5,0.0,1.0
2023-04-07,7740.731382555283,0.5,0.5,0.0,1.0
2023-04-08,7785.000160656632,0.5,0.5,0.0,1.0
2023-04-09,7839.149352780817,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-10,7868.947934561065,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-11,7891.125886543094,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2023-04-12,7863.417071962624,0.5,0.49999999999999994,5.551115123125783e-17,1.0
