symbol,category,signal,entry_date,exit_date,entry_price,exit_price,entry_z_score,exit_z_score,position_size,return_pct,pnl,hold_days,exit_reason,market_cap
ALGO,Dino Coins,SHORT,2024-11-09,2024-11-12,0.134,0.1544,3.6416864973294096,1.5552407258543428,10000.0,-0.15223880597014916,-1552.3880597014916,3,stop_loss,1430115479.6308138
ALGO,Dino Coins,SHORT,2024-11-12,2024-11-16,0.1544,0.1966,1.5552407258543428,3.665394488472482,10000.0,-0.27331606217616566,-2763.160621761657,4,stop_loss,1430115479.6308138
XLM,Dino Coins,SHORT,2024-11-13,2024-11-16,0.124435,0.220952,5.700669644502936,-3.665394488472475,10000.0,-0.7756419013943023,-7786.419013943023,3,stop_loss,3259659946.8074923
ALGO,Dino Coins,SHORT,2024-11-16,2024-11-19,0.1966,0.2235,3.665394488472482,0.0584278243750028,10000.0,-0.1368260427263479,-1398.260427263479,3,mean_revert,1430115479.6308138
XLM,Dino Coins,SHORT,2024-11-17,2024-11-19,0.196348,0.231865,5.870626032600055,-0.0584278243750028,10000.0,-0.18088801515676245,-1838.8801515676246,2,mean_revert,3259659946.8074923
XLM,Dino Coins,SHORT,2024-11-21,2024-11-25,0.262242,0.481433,1.853824205598945,,10000.0,-0.8358348395756594,-8388.348395756593,4,stop_loss,3259659946.8074923
ALGO,Dino Coins,SHORT,2024-11-27,2024-12-01,0.2933,0.4865,2.512064434059556,-2.3072136583912912,10000.0,-0.6587112171837708,-6617.112171837708,4,stop_loss,1430115479.6308138
XTZ,Dino Coins,SHORT,2024-12-22,2024-12-24,1.254,1.428,1.6289628395452058,0.1005780755842801,10000.0,-0.13875598086124397,-1417.5598086124396,2,mean_revert,845406529.9706029
WIF,Meme Coins,SHORT,2025-03-03,2025-03-06,0.643,0.572,1.6058422929620266,-0.1984540926982489,10000.0,0.11041990668740287,1074.1990668740286,3,mean_revert,2098966578.6955955
FLOKI,Meme Coins,SHORT,2025-03-05,2025-03-06,7.52e-05,7.28e-05,1.7874989852655627,0.3410362256565341,10000.0,0.03191489361702138,289.1489361702138,1,mean_revert,1911027839.4132748
