date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2025-04-23,MOG/USD,SHORT,2.4755905168913803,16.0,94.11764705882352,-0.125,2.0525439847605065,1135029920.0852993,1868812582240.8667
2025-04-23,POPCAT/USD,SHORT,2.35772017137248,15.0,88.23529411764706,-0.125,2.3907586251836523,844807311.7319478,19515684.457000002
2025-05-23,ATH/USD,LONG,1.003097173872262,1.0,5.88235294117647,0.16666666666666666,1.0426453245920082,412583051.170054,20838035.2
2025-05-23,CRO/USD,LONG,1.1771045416126713,2.0,11.76470588235294,0.16666666666666666,0.5439341672425735,4226833510.875261,12123497.15
2025-05-23,XLM/USD,LONG,1.27542401862486,3.0,17.647058823529413,0.16666666666666666,0.7024601424325457,13373293388.155737,102638812.32269716
2025-05-23,BONK/USD,SHORT,2.0965910245302832,14.0,82.35294117647058,-0.125,1.5501171043511728,2620322044.1454067,1605879072361.0667
2025-05-23,GIGA/USD,SHORT,2.8939743560727362,17.0,100.0,-0.125,1.5918549865911202,769429559.7931653,137598175.75333333
2025-05-23,MOG/USD,SHORT,2.6479540345244024,16.0,94.11764705882352,-0.125,1.815426452886897,1135029920.0852993,3699237670560.2
2025-05-23,POPCAT/USD,SHORT,2.2523999953116975,15.0,88.23529411764706,-0.125,1.4761079903485552,844807311.7319478,25946830.06266667
2025-06-22,ATH/USD,LONG,0.9882938948319893,1.0,6.25,0.16666666666666666,0.7887468045215782,412583051.170054,15108418.2
2025-06-22,CRO/USD,LONG,1.2287494907939005,2.0,12.5,0.16666666666666666,0.5170028420782385,4226833510.875261,12036749.753333334
2025-06-22,XLM/USD,LONG,1.261602511444831,3.0,18.75,0.16666666666666666,0.39550457137379025,13373293388.155737,53636820.843775794
2025-06-22,GIGA/USD,SHORT,2.748200562919889,14.0,87.5,-0.125,1.6853764932893938,769429559.7931653,124166681.03999999
2025-06-22,MOG/USD,SHORT,3.52168106256997,16.0,100.0,-0.125,1.450113617780189,1135029920.0852993,2472067499812.6665
2025-06-22,PENGU/USD,SHORT,2.725571717849227,13.0,81.25,-0.125,1.1276046228300771,2520508443.2097683,279139465.5
2025-06-22,POPCAT/USD,SHORT,3.0587849022428406,15.0,93.75,-0.125,1.1075301634467973,844807311.7319478,17323726.940333333
2025-07-22,ATH/USD,LONG,1.0519992311081892,2.0,11.11111111111111,0.16666666666666666,0.7293890468532935,412583051.170054,20387011.833333332
2025-07-22,CRO/USD,LONG,1.0150022492509134,1.0,5.555555555555555,0.16666666666666666,0.8076922691178402,4226833510.875261,20493184.033333335
2025-07-22,XLM/USD,LONG,1.6052767831483403,3.0,16.666666666666664,0.16666666666666666,1.1293291527397726,13373293388.155737,136294221.33307874
2025-07-22,MOG/USD,SHORT,4.143960896960157,18.0,100.0,-0.125,1.6202471418939086,1135029920.0852993,3454534582925.7334
2025-07-22,PENGU/USD,SHORT,2.9445201269460783,16.0,88.88888888888889,-0.125,1.8597554601277835,2520508443.2097683,1417883871.7666667
2025-07-22,PNUT/USD,SHORT,3.26523035926965,17.0,94.44444444444444,-0.125,1.285088035129923,756472715.6159503,14505509.310999999
2025-07-22,WIF/USD,SHORT,2.846918625815532,15.0,83.33333333333334,-0.125,1.3452001246838063,2098966578.6955955,16191987.322333334
2025-08-21,ATH/USD,LONG,1.2108913766957532,1.0,5.263157894736842,0.16666666666666666,1.0039823064719153,412583051.170054,18494105.533333335
2025-08-21,CRO/USD,LONG,1.31807812842647,2.0,10.526315789473683,0.16666666666666666,0.8509091143609875,4226833510.875261,20255710.37
2025-08-21,MAGIC/USD,LONG,1.654357877706827,3.0,15.789473684210526,0.16666666666666666,2.026703211026843,242790809.23518732,17099881.346
2025-08-21,FARTCOIN/USD,SHORT,3.2837497103922892,18.0,94.73684210526315,-0.125,1.60222057254309,1299695658.524675,33034319.44466667
2025-08-21,MOG/USD,SHORT,3.834734681144137,19.0,100.0,-0.125,1.2905653309576433,1135029920.0852993,1906786012778.9
2025-08-21,PENGU/USD,SHORT,3.009844350404829,16.0,84.21052631578947,-0.125,1.1283483315743277,2520508443.2097683,1340244566.2
2025-08-21,POPCAT/USD,SHORT,3.186996808803087,17.0,89.47368421052632,-0.125,1.3024379255606442,844807311.7319478,13353654.769666668
2025-09-20,ATH/USD,LONG,1.5737940166059892,1.0,4.761904761904762,0.125,1.621836515638587,412583051.170054,67696960.73333333
2025-09-20,CRO/USD,LONG,1.7238879683604813,2.0,9.523809523809524,0.125,1.7323673064547953,4226833510.875261,132549217.28666666
2025-09-20,GRT/USD,LONG,1.8520617332833664,3.0,14.285714285714285,0.125,0.7094767416782851,2322441718.14376,10925829.497666666
2025-09-20,W/USD,LONG,2.0082611724805264,4.0,19.047619047619047,0.125,1.2943360244905484,868432960.5077666,19298308.641666666
2025-09-20,FARTCOIN/USD,SHORT,3.477998979670645,21.0,100.0,-0.1,1.3517014297669303,1299695658.524675,25715646.945333336
2025-09-20,GIGA/USD,SHORT,2.9491915332084173,17.0,80.95238095238095,-0.1,1.093986179340479,769429559.7931653,78687300.49000001
2025-09-20,MOG/USD,SHORT,3.4337545784361008,20.0,95.23809523809523,-0.1,1.1156989864972533,1135029920.0852993,1523539377440.5667
2025-09-20,PENGU/USD,SHORT,2.99075501560003,18.0,85.71428571428571,-0.1,1.1372928963421796,2520508443.2097683,1017401024.7
2025-09-20,POPCAT/USD,SHORT,3.0101589595760565,19.0,90.47619047619048,-0.1,0.9656704811022996,844807311.7319478,7864625.680666667
2025-10-20,ALGO/USD,LONG,2.117839187670137,3.0,14.285714285714285,0.125,1.0538419775734056,3384098842.854815,14951033.6
2025-10-20,CRO/USD,LONG,2.1345770207822836,4.0,19.047619047619047,0.125,1.0732449001528832,4226833510.875261,32886347.836666662
2025-10-20,GRT/USD,LONG,1.9650966592288766,2.0,9.523809523809524,0.125,1.0418735926641918,2322441718.14376,16148261.526666667
2025-10-20,XLM/USD,LONG,1.8202028684330378,1.0,4.761904761904762,0.125,0.8534779055810143,13373293388.155737,49687590.33221968
2025-10-20,BIO/USD,SHORT,3.303540893108869,20.0,95.23809523809523,-0.1,1.7662880919720838,963692599.7358963,8115836.903333334
2025-10-20,FARTCOIN/USD,SHORT,4.137276842094647,21.0,100.0,-0.1,2.378519019113254,1299695658.524675,44257313.92266667
2025-10-20,MOG/USD,SHORT,3.235615662575884,19.0,90.47619047619048,-0.1,1.7733436633207351,1135029920.0852993,2271109607558.567
2025-10-20,POPCAT/USD,SHORT,2.978414810234559,18.0,85.71428571428571,-0.1,1.5822925446619183,844807311.7319478,15955030.385333333
2025-10-20,WIF/USD,SHORT,2.935423288346258,17.0,80.95238095238095,-0.1,1.6948706881374003,2098966578.6955955,7786031.145333333
