date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2025-03-09,18892.459227555726,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-10,17870.206387936512,7,0,7,0.0,-8935.103193968256,-8935.103193968256,8935.103193968256,-0.054109040401061126
2025-03-11,17615.346656296755,7,0,7,0.0,-8807.673328148378,-8807.673328148378,8807.673328148378,-0.014261711706463731
2025-03-12,17839.40443970124,7,0,7,0.0,-8919.70221985062,-8919.70221985062,8919.70221985062,0.012719464894799248
2025-03-13,17493.898429046294,7,0,7,0.0,-8746.949214523147,-8746.949214523147,8746.949214523147,-0.019367575404368842
2025-03-14,17134.612770452368,7,0,7,0.0,-8567.306385226184,-8567.306385226184,8567.306385226184,-0.020537769785914595
2025-03-15,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-16,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-17,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-18,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-19,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-20,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-21,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-22,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-23,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-24,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-25,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-26,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-27,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-28,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-29,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-30,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-03-31,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-01,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-02,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-03,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-04,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-05,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-06,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-07,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-08,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-09,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-10,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-11,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-12,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-13,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-14,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-15,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-16,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-17,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-18,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-19,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-20,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-21,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-22,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-23,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-24,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-25,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-26,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-27,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-28,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-29,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-04-30,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-01,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-02,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-03,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-04,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-05,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-06,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-07,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-08,17134.612770452368,0,0,0,0.0,0.0,0.0,0.0,0.0
2025-05-09,18349.94091019644,2,2,0,9174.97045509822,0.0,9174.97045509822,9174.97045509822,0.0709282524224788
2025-05-10,17943.70744804785,2,2,0,8971.853724023926,0.0,8971.853724023926,8971.853724023926,-0.022138134620524053
2025-05-11,17626.44260375427,2,2,0,8813.221301877134,0.0,8813.221301877134,8813.221301877134,-0.017681119981038163
