date,portfolio_value,daily_return,long_return,short_return,turnover,num_long,num_short,long_exposure,short_exposure,net_exposure,gross_exposure,cumulative,running_max,drawdown
2024-02-17,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-18,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-19,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-20,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-21,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-22,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-23,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-24,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-25,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-26,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-27,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-28,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-02-29,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-01,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-02,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-03,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-04,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-05,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-06,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-07,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-08,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-09,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
2024-03-10,13373.427661173002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.2294096703507285,1.3557407808587139,-0.09318234893544208
