date,portfolio_value,cash,num_positions,num_longs,num_shorts
2024-09-27,7121.731259223588,0,1,1,0
2024-09-28,7119.489675094845,0,1,1,0
2024-09-29,7294.856273433472,0,1,1,0
2024-09-30,7046.4887519687945,0,1,1,0
2024-10-01,6703.078063445433,0,1,1,0
2024-10-02,6451.198726845728,0,1,1,0
2024-10-03,6446.939717001116,0,1,1,0
2024-10-04,6553.863279942137,0,1,1,0
2024-10-05,6568.4335767789635,0,1,1,0
2024-10-06,6592.119649072676,0,1,1,0
2024-10-07,6492.593313756506,0,1,1,0
2024-10-08,6413.465394011895,0,1,1,0
2024-10-09,6393.5152952660865,0,1,1,0
2024-10-10,6423.104205765488,0,1,1,0
2024-10-11,6555.656547245131,0,1,1,0
2024-10-12,6557.225656135251,0,1,1,0
2024-10-13,6443.502621337046,0,1,1,0
2024-10-14,6671.471727230164,0,1,1,0
2024-10-15,6636.876612176569,0,1,1,0
2024-10-16,6828.382616242143,0,1,1,0
2024-10-17,6781.907105306213,0,1,1,0
2024-10-18,6911.171790063702,0,1,1,0
2024-10-19,6929.328621506517,0,1,1,0
2024-10-20,6952.491657503524,0,1,1,0
2024-10-21,6810.898260037951,0,1,1,0
2024-10-22,6801.334167755317,0,1,1,0
2024-10-23,6746.116478717292,0,1,1,0
2024-10-24,6909.154364347834,0,1,1,0
2024-10-25,6661.907634947529,0,1,1,0
2024-10-26,6724.223673726573,0,1,1,0
2024-10-27,6724.896148965196,0,1,1,0
2024-10-28,6734.236082834956,0,1,1,0
2024-10-29,6910.200436941248,0,1,1,0
2024-10-30,6767.112650056513,0,1,1,0
2024-10-31,6587.561761344234,0,1,1,0
2024-11-01,6644.572717685254,0,1,1,0
2024-11-02,6611.397272579863,0,1,1,0
2024-11-03,6460.912258070279,0,1,1,0
2024-11-04,6497.076482013992,0,1,1,0
2024-11-05,6670.0520572819605,0,1,1,0
2024-11-06,6952.118060148732,0,1,1,0
2024-11-07,7327.433962771196,0,1,1,0
2024-11-08,7257.496537954429,0,1,1,0
2024-11-09,7333.486239918801,0,1,1,0
2024-11-10,7791.068280066118,0,1,1,0
2024-11-11,8271.81335621044,0,1,1,0
2024-11-12,9743.338617258976,0,1,1,0
2024-11-13,8987.850046401774,0,1,1,0
2024-11-14,9485.033406156876,0,1,1,0
2024-11-15,10581.242764582948,0,1,1,0
2024-11-16,16199.549224863316,0,1,1,0
2024-11-17,14361.151361410579,0,1,1,0
2024-11-18,17008.163339571718,0,1,1,0
2024-11-19,17014.962811428904,0,1,1,0
2024-11-20,18189.702333831923,0,1,1,0
2024-11-21,19284.716180722666,0,1,1,0
2024-11-22,25130.169832715615,0,1,1,0
2024-11-23,38715.3651644309,0,1,1,0
2024-11-24,39780.640661880316,0,1,1,0
2024-11-25,35662.5517394964,0,1,1,0
2024-11-26,32447.671782053807,0,1,1,0
2024-11-27,35852.56335414281,0,1,1,0
2024-11-28,37027.07871813295,0,1,1,0
2024-11-29,40666.21583167555,0,1,1,0
2024-11-30,38958.57704239947,0,1,1,0
2024-12-01,41496.27443454893,0,1,1,0
2024-12-02,39996.50521347823,0,1,1,0
2024-12-03,37590.91184598267,0,1,1,0
2024-12-04,36290.79305131198,0,1,1,0
2024-12-05,34921.33458759219,0,1,1,0
2024-12-06,36781.699975506606,0,1,1,0
2024-12-07,37364.58656845063,0,1,1,0
2024-12-08,36538.93641436378,0,1,1,0
2024-12-09,30411.11788162023,0,1,1,0
2024-12-10,32329.166701114285,0,1,1,0
2024-12-11,32224.858319656796,0,1,1,0
2024-12-12,31470.415821393006,0,1,1,0
2024-12-13,10831.67060838777,0,1,1,0
2024-12-14,8843.977854341008,0,1,1,0
2024-12-15,9126.745861192847,0,1,1,0
2024-12-16,9226.54633419938,0,1,1,0
2024-12-17,8444.775962314885,0,1,1,0
2024-12-18,4386.223393382594,0,1,1,0
2024-12-19,2947.4332408717582,0,1,1,0
2024-12-20,10412.600497955822,0,1,1,0
2024-12-21,10064.249225959058,0,1,1,0
2024-12-22,10188.73210125473,0,1,1,0
2024-12-23,10306.187717461133,0,1,1,0
2024-12-24,10406.57713302216,0,1,1,0
2024-12-25,10347.347377841154,0,1,1,0
2024-12-26,10103.401098027858,0,1,1,0
2024-12-27,10269.043633703553,0,1,1,0
2024-12-28,10331.28507135139,0,1,1,0
2024-12-29,10142.552970096658,0,1,1,0
2024-12-30,10158.615276586423,0,1,1,0
2024-12-31,10112.43614542835,0,1,1,0
2025-01-01,10027.105142201477,0,1,1,0
2025-01-02,10244.950173968906,0,1,1,0
2025-01-03,10672.609084258882,0,1,1,0
2025-01-04,10629.44163556764,0,1,1,0
2025-01-05,10504.958760271968,0,1,1,0
2025-01-06,10590.28976349884,0,1,1,0
2025-01-07,10148.57633503032,0,1,1,0
2025-01-08,9947.797503908265,0,1,1,0
2025-01-09,9783.158862388182,0,1,1,0
2025-01-10,9828.334099390644,0,1,1,0
2025-01-11,9873.509336393106,0,1,1,0
2025-01-12,9814.2795812121,0,1,1,0
2025-01-13,9684.777235138374,0,1,1,0
2025-01-14,9792.193909788673,0,1,1,0
2025-01-15,9983.937693510235,0,1,1,0
2025-01-16,9899.610584438973,0,1,1,0
2025-01-17,10396.538191466057,0,1,1,0
2025-01-18,10418.623862889483,0,1,1,0
2025-01-19,10307.191611616743,0,1,1,0
2025-01-20,10041.15966038002,0,1,1,0
2025-01-21,10299.160458371862,0,1,1,0
2025-01-22,10270.047527859164,0,1,1,0
2025-01-23,10188.73210125473,0,1,1,0
2025-01-24,10033.12850713514,0,1,1,0
2025-01-25,9992.972740910727,0,1,1,0
2025-01-26,9784.162756543792,0,1,1,0
2025-01-27,9677.749976049103,0,1,1,0
2025-01-28,9353.492163786985,0,1,1,0
2025-01-29,9501.064604661695,0,1,1,0
2025-01-30,9552.26320659782,0,1,1,0
2025-01-31,9544.232053352936,0,1,1,0
2025-02-01,9258.12221900401,0,1,1,0
2025-02-02,8982.051326211184,0,1,1,0
2025-02-03,9063.366752815617,0,1,1,0
2025-02-04,8896.72032298431,0,1,1,0
2025-02-05,8817.4126846911,0,1,1,0
2025-02-06,8734.089469775447,0,1,1,0
2025-02-07,8724.050528219344,0,1,1,0
2025-02-08,8830.463308714034,0,1,1,0
2025-02-09,8784.284177555961,0,1,1,0
2025-02-10,8811.389319757438,0,1,1,0
2025-02-11,8825.443837935982,0,1,1,0
2025-02-12,8881.661910650157,0,1,1,0
2025-02-13,8809.381531446217,0,1,1,0
2025-02-14,8915.794311940906,0,1,1,0
2025-02-15,8861.584027537952,0,1,1,0
2025-02-16,8800.346484045725,0,1,1,0
2025-02-17,8732.081681464228,0,1,1,0
2025-02-18,8603.583229546111,0,1,1,0
2025-02-19,8619.645536035876,0,1,1,0
2025-02-20,8663.816878882728,0,1,1,0
2025-02-21,8607.598806168553,0,1,1,0
2025-02-22,8672.851926283221,0,1,1,0
2025-02-23,8633.70005421442,0,1,1,0
2025-02-24,8372.68757375575,0,1,1,0
2025-02-25,8398.788821801616,0,1,1,0
2025-02-26,8398.788821801616,0,1,1,0
2025-02-27,8374.69536206697,0,1,1,0
2025-02-28,8420.874493225043,0,1,1,0
2025-03-01,8410.835551668939,0,1,1,0
2025-03-02,8618.641641880266,0,1,1,0
2025-03-03,8301.41108870742,0,1,1,0
2025-03-04,8253.224169238127,0,1,1,0
2025-03-05,8289.364358840097,0,1,1,0
2025-03-06,8259.247534171789,0,1,1,0
2025-03-07,8257.239745860568,0,1,1,0
2025-03-08,8223.107344569818,0,1,1,0
2025-03-09,8067.503750450227,0,1,1,0
2025-03-10,8026.344090070205,0,1,1,0
2025-03-11,8099.628363429755,0,1,1,0
2025-03-12,8125.729611475623,0,1,1,0
2025-03-13,8098.624469274146,0,1,1,0
2025-03-14,8143.799706276607,0,1,1,0
2025-03-15,8159.862012766372,0,1,1,0
2025-03-16,8095.6127868073145,0,1,1,0
2025-03-17,8165.885377700033,0,1,1,0
