date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-03-05,8395.859658786885,1,1,0.5,0.5,0.0,1.0,4.2264408167332705,-1.7629112087285324,-0.06821463974115438,14490.821841210956,-0.42060845473169745
2024-03-06,7814.030518464606,1,1,0.5,0.5,0.0,1.0,4.135820530686887,-1.951961470129175,-0.06929953143194245,14490.821841210956,-0.4607600173344199
2024-03-07,8472.782718180384,1,1,0.5,0.5,0.0,1.0,3.673647665703006,-1.8839279844442463,0.08430376591941147,14490.821841210956,-0.41530005606139325
2024-03-08,8683.128910065534,1,1,0.5,0.5,0.0,1.0,4.238949121879782,-1.6561803352993252,0.024826104820769412,14490.821841210956,-0.40078423396447543
2024-03-09,8399.967330580075,1,1,0.5,0.5,0.0,1.0,4.3876016992907765,-1.9190261216283857,-0.03261054654586737,14490.821841210956,-0.42032498759379444
2024-03-10,8299.81438912486,1,1,0.5,0.5,0.0,1.0,2.6987028063281606,-2.0726175671028346,-0.01192301559204978,14490.821841210956,-0.42723646180503533
2024-03-11,8185.493247432239,1,1,0.5,0.5,0.0,1.0,2.2116647660063093,-2.2847191565383334,-0.013773939552481407,14490.821841210956,-0.43512567215799813
2024-03-12,8697.481056678582,2,2,0.5,0.5,0.0,1.0,3.3583884892056384,-5.017801336556055,0.0625481927319349,14490.821841210956,-0.3997938038308145
2024-03-13,9551.503007855992,2,2,0.5,0.5,0.0,1.0,3.878392649130708,-5.40752075920031,0.09819187252171457,14490.821841210956,-0.3408584335298266
2024-03-14,9441.427638616544,2,2,0.5,0.5,0.0,1.0,4.82494695143451,-5.455101659128274,-0.011524402928933086,14490.821841210956,-0.34845464652903696
2024-03-15,9548.739939453466,2,2,0.5,0.5,0.0,1.0,4.191725518654137,-5.234443344070416,0.011366109548729852,14490.821841210956,-0.34104911066552007
2024-03-16,9007.378804325046,2,2,0.5,0.5,0.0,1.0,3.883414818976273,-4.454509638590623,-0.056694510329224124,14490.821841210956,-0.3784080086673452
2024-03-17,8844.815309018431,2,2,0.5,0.5,0.0,1.0,2.592031093660176,-6.703979082082183,-0.01804781378002629,14490.821841210956,-0.38962638517407266
2024-03-18,8358.802254329621,2,2,0.5,0.5,0.0,1.0,2.2136249778123864,-5.868622280249685,-0.054948920662397205,14490.821841210956,-0.4231657565095632
2024-03-19,7797.767521127459,2,2,0.5,0.5,0.0,1.0,2.505510575174454,-5.997390396406747,-0.06711903405916342,14490.821841210956,-0.4618823137448896
2024-03-20,6924.084808628169,2,2,0.5,0.5,0.0,1.0,2.4037683907611123,-6.996803157090513,-0.11204267248697952,14490.821841210956,-0.5221744574254221
2024-03-21,7005.887314317832,2,2,0.5,0.5,0.0,1.0,1.3276702537630933,-6.55478569676492,0.011814197536651694,14490.821841210956,-0.5165293320773883
2024-03-22,7056.410523375915,2,2,0.5,0.5,0.0,1.0,1.0223178776899131,-6.548585002713683,0.007211536068362001,14490.821841210956,-0.5130427659176693
2024-03-23,6560.083512372853,2,2,0.5,0.5,0.0,1.0,0.8651044301310176,-7.1213012813298615,-0.07033703741567598,14490.821841210956,-0.5472938951111522
2024-03-24,6130.714497066311,2,2,0.5,0.5,0.0,1.0,0.7657806105000579,-7.641982515112535,-0.06545176056016921,14490.821841210956,-0.576924306692464
2024-03-25,6120.69367164413,2,2,0.5,0.5,0.0,1.0,0.744376583890864,-9.513965353015209,-0.0016345281495292463,14490.821841210956,-0.5776158358225566
2024-03-26,5739.098561192725,2,2,0.5,0.5,0.0,1.0,1.9083062132892827,-13.291828736493926,-0.0623450757255265,14490.821841210956,-0.6039494085234627
2024-03-27,5941.121098877906,2,2,0.5,0.5,0.0,1.0,1.7574007742052435,-11.947297296276503,0.03520109221528944,14490.821841210956,-0.5900079951309771
2024-03-28,6175.601634406331,2,2,0.5,0.5,0.0,1.0,1.6549469837509445,-5.446121625595722,0.03946738866721833,14490.821841210956,-0.5738266813243593
